Time,Utilization (%)
2024-01-23 17:19:13,0.4870
2024-01-23 17:18:13,0.4897
2024-01-23 17:17:13,0.4909
2024-01-23 17:16:13,0.4981
2024-01-23 17:15:13,0.4900
2024-01-23 17:14:13,0.4866
2024-01-23 17:13:13,0.4930
2024-01-23 17:12:13,0.4955
2024-01-23 17:11:13,0.4877
2024-01-23 17:10:13,0.4870
2024-01-23 17:09:13,0.4819
2024-01-23 17:08:13,0.4841
2024-01-23 17:07:13,0.4934
2024-01-23 17:06:13,0.4876
2024-01-23 17:05:13,0.4959
2024-01-23 17:04:13,0.4942
2024-01-23 17:03:13,0.5063
2024-01-23 17:02:13,0.4989
2024-01-23 17:01:13,0.4957
2024-01-23 17:00:13,0.4807
2024-01-23 16:59:13,0.4815
2024-01-23 16:58:13,0.4814
2024-01-23 16:57:13,0.4846
2024-01-23 16:56:13,0.4823
2024-01-23 16:55:13,0.4790
2024-01-23 16:54:13,0.4852
2024-01-23 16:53:13,0.4803
2024-01-23 16:52:13,0.5510
2024-01-23 16:51:13,0.4834
2024-01-23 16:50:13,0.4827
2024-01-23 16:49:13,0.4745
2024-01-23 16:48:13,0.4812
2024-01-23 16:47:13,0.4768
2024-01-23 16:46:13,0.4789
2024-01-23 16:45:13,0.4904
2024-01-23 16:44:13,0.4823
2024-01-23 16:43:13,0.4850
2024-01-23 16:42:13,0.4892
2024-01-23 16:41:13,0.4852
2024-01-23 16:40:13,0.4769
2024-01-23 16:39:13,0.5582
2024-01-23 16:38:13,0.4849
2024-01-23 16:37:13,0.4814
2024-01-23 16:36:13,0.4846
2024-01-23 16:35:13,0.4750
2024-01-23 16:34:13,0.4754
2024-01-23 16:33:13,0.4750
2024-01-23 16:32:13,0.4773
2024-01-23 16:31:13,0.4836
2024-01-23 16:30:13,0.4727
2024-01-23 16:29:13,0.4766
2024-01-23 16:28:13,0.4763
2024-01-23 16:27:13,0.4714
2024-01-23 16:26:13,0.4690
2024-01-23 16:25:13,0.4715
2024-01-23 16:24:13,0.4672
2024-01-23 16:23:13,0.4695
2024-01-23 16:22:13,0.4717
2024-01-23 16:21:13,0.4770
2024-01-23 16:20:13,0.4690
2024-01-23 16:19:13,0.4751
2024-01-23 16:18:13,0.4797
2024-01-23 16:17:13,0.4794
2024-01-23 16:16:13,0.4713
2024-01-23 16:15:13,0.4738
2024-01-23 16:14:13,0.4745
2024-01-23 16:13:13,0.4791
2024-01-23 16:12:13,0.4784
2024-01-23 16:11:13,0.4791
2024-01-23 16:10:13,0.4748
2024-01-23 16:09:13,0.4768
2024-01-23 16:08:13,0.4767
2024-01-23 16:07:13,0.4747
2024-01-23 16:06:13,0.4827
2024-01-23 16:05:13,0.4862
2024-01-23 16:04:13,0.4854
2024-01-23 16:03:13,0.4868
2024-01-23 16:02:13,0.4895
2024-01-23 16:01:13,0.4801
2024-01-23 16:00:13,0.4761
2024-01-23 15:59:13,0.4819
2024-01-23 15:58:13,0.4767
2024-01-23 15:57:13,0.4752
2024-01-23 15:56:13,0.4744
2024-01-23 15:55:13,0.4723
2024-01-23 15:54:13,0.4885
2024-01-23 15:53:13,0.4849
2024-01-23 15:52:13,0.4861
2024-01-23 15:51:13,0.4826
2024-01-23 15:50:13,0.4872
2024-01-23 15:49:13,0.4956
2024-01-23 15:48:13,0.4884
2024-01-23 15:47:13,0.4865
2024-01-23 15:46:13,0.4808
2024-01-23 15:45:13,0.4820
2024-01-23 15:44:13,0.4972
2024-01-23 15:43:13,0.4799
2024-01-23 15:42:13,0.4809
2024-01-23 15:41:13,0.4830
2024-01-23 15:40:13,0.4873
2024-01-23 15:39:13,0.4772
2024-01-23 15:38:13,0.4778
2024-01-23 15:37:13,0.4768
2024-01-23 15:36:13,0.4833
2024-01-23 15:35:13,0.4805
2024-01-23 15:34:13,0.4803
2024-01-23 15:33:13,0.4804
2024-01-23 15:32:13,0.4883
2024-01-23 15:31:13,0.4815
2024-01-23 15:30:13,0.4771
2024-01-23 15:29:13,0.4799
2024-01-23 15:28:13,0.4818
2024-01-23 15:27:13,0.5657
2024-01-23 15:26:13,0.4799
2024-01-23 15:25:13,0.4743
2024-01-23 15:24:13,0.8320
2024-01-23 15:23:13,0.4678
2024-01-23 15:22:13,0.4753
2024-01-23 15:21:13,0.4746
2024-01-23 15:20:13,0.4668
2024-01-23 15:19:13,0.4673
2024-01-23 15:18:13,0.4839
2024-01-23 15:17:13,0.4791
2024-01-23 15:16:13,0.4735
2024-01-23 15:15:13,0.4720
2024-01-23 15:14:13,0.4736
2024-01-23 15:13:13,0.4737
2024-01-23 15:12:13,0.4770
2024-01-23 15:11:13,0.4760
2024-01-23 15:10:13,0.4722
2024-01-23 15:09:13,0.4782
2024-01-23 15:08:13,0.4806
2024-01-23 15:07:13,0.4761
2024-01-23 15:06:13,0.4794
2024-01-23 15:05:13,0.4757
2024-01-23 15:04:13,0.4808
2024-01-23 15:03:13,0.4824
2024-01-23 15:02:13,0.4822
2024-01-23 15:01:13,0.4738
2024-01-23 15:00:13,0.4674
2024-01-23 14:59:13,0.4730
2024-01-23 14:58:13,0.4706
2024-01-23 14:57:13,0.4632
2024-01-23 14:56:13,0.4669
2024-01-23 14:55:13,0.4641
2024-01-23 14:54:13,0.4676
2024-01-23 14:53:13,0.4663
2024-01-23 14:52:13,0.4589
2024-01-23 14:51:13,0.4625
2024-01-23 14:50:13,0.4587
2024-01-23 14:49:13,0.4559
2024-01-23 14:48:13,0.4622
2024-01-23 14:47:13,0.4520
2024-01-23 14:46:13,0.4599
2024-01-23 14:45:13,0.4517
2024-01-23 14:44:13,0.4507
2024-01-23 14:43:13,0.4563
2024-01-23 14:42:13,0.4622
2024-01-23 14:41:13,0.4578
2024-01-23 14:40:13,0.4666
2024-01-23 14:39:13,0.4641
2024-01-23 14:38:13,0.4719
2024-01-23 14:37:13,0.4643
2024-01-23 14:36:13,0.4607
2024-01-23 14:35:13,0.4696
2024-01-23 14:34:13,0.4663
2024-01-23 14:33:13,0.4720
2024-01-23 14:31:13,0.4556
2024-01-23 14:30:13,0.4504
2024-01-23 14:29:13,0.4571
2024-01-23 14:28:13,0.4518
2024-01-23 14:27:13,0.4522
2024-01-23 14:26:13,0.4499
2024-01-23 14:25:13,0.4517
2024-01-23 14:24:13,0.4510
2024-01-23 14:23:13,0.4536
2024-01-23 14:22:13,0.4530
2024-01-23 14:21:13,0.4846
2024-01-23 14:20:13,30.6020
2024-01-23 14:19:13,71.1067
2024-01-23 14:18:13,48.4533
2024-01-23 14:17:13,8.3954
2024-01-23 14:16:13,3.2008
2024-01-23 14:22:13,N/A
2024-01-23 14:21:13,N/A
2024-01-23 14:20:13,N/A
